Date,Close,High,Low,Open,Volume,Returns
1/22/2023,22720.41602,23056.73047,22387.90039,22777.98633,24746386230,-0.002511631
1/23/2023,22934.43164,23126.48633,22654.30469,22721.08789,26518700512,0.009419529
1/24/2023,22636.46875,23134.01172,22549.74414,22929.62695,26405069715,-0.012991946
1/25/2023,23117.85938,23722.09961,22406.07617,22639.26758,30685366709,0.021266154
1/26/2023,23032.77734,23237.07813,22911.37305,23108.95508,26357839322,-0.003680359
1/27/2023,23078.72852,23417.7207,22654.59375,23030.7168,25383335641,0.001995034
1/28/2023,23031.08984,23165.89648,22908.8457,23079.96484,14712928379,-0.002064181
1/29/2023,23774.56641,23919.89063,22985.07031,23031.44922,27423687259,0.032281432
1/30/2023,22840.13867,23789.34766,22657.58203,23774.64844,27205595568,-0.039303671
1/31/2023,23139.2832,23225.02148,22765.56836,22840.79688,22837828665,0.013097317
2/1/2023,23723.76953,23764.53906,22877.75,23137.83594,26683255504,0.025259483
2/2/2023,23471.87109,24167.21094,23468.5957,23720.82422,32066936882,-0.010617977
2/3/2023,23449.32227,23678.10352,23279.95508,23469.41211,27083066007,-0.000960675
2/4/2023,23331.84766,23556.94922,23291.79492,23446.32031,15639298538,-0.005009723
2/5/2023,22955.66602,23423.43555,22841.75977,23332.24805,19564262605,-0.016123097
2/6/2023,22760.10938,23119.2793,22692.02539,22954.02148,23825006542,-0.008518883
2/7/2023,23264.29102,23310.97461,22756.25781,22757.26758,27187964471,0.022151987
2/8/2023,22939.39844,23367.95898,22731.09766,23263.41602,25371367758,-0.01396529
2/9/2023,21819.03906,22996.4375,21773.97461,22946.56641,32572572185,-0.048839963
2/10/2023,21651.18359,21941.18555,21539.39258,21819.00586,27078406594,-0.007693073
2/11/2023,21870.875,21891.41016,21618.44922,21651.8418,16356226232,0.010146854
2/12/2023,21788.20313,22060.99414,21682.82813,21870.90234,17821046406,-0.003779999
2/13/2023,21808.10156,21898.41406,21460.08789,21787,23918742607,0.000913267
2/14/2023,22220.80469,22293.14063,21632.39453,21801.82227,26792596581,0.018924303
2/15/2023,24307.8418,24307.8418,22082.76953,22220.58594,32483312909,0.093922661
2/16/2023,23623.47461,25134.11719,23602.52344,24307.34961,39316664596,-0.028154173
2/17/2023,24565.60156,24924.04102,23460.75586,23621.2832,41358451255,0.039880965
2/18/2023,24641.27734,24798.83594,24468.37305,24565.29688,19625427158,0.003080559
2/19/2023,24327.64258,25093.05469,24327.64258,24640.02734,25555105670,-0.012728024
2/20/2023,24829.14844,25020.45898,23927.91016,24336.62305,28987376573,0.020614651
2/21/2023,24436.35352,25126.85156,24200.36328,24833.04883,31252098714,-0.015819911
2/22/2023,24188.84375,24472.33984,23644.31836,24437.41797,30199996781,-0.010128752
2/23/2023,23947.49219,24572.08984,23693.91992,24190.71875,30476264066,-0.009977805
2/24/2023,23198.12695,24103.70508,23007.07227,23946.00781,26811744928,-0.031292013
2/25/2023,23175.375,23210.21094,22861.55859,23200.125,16100721565,-0.000980767
2/26/2023,23561.21289,23654.36719,23084.2207,23174.15039,16644534842,0.016648615
2/27/2023,23522.87109,23857.89063,23205.87891,23561.45117,22660763494,-0.001627327
2/28/2023,23147.35352,23585.38477,23077.65039,23521.83789,20535363434,-0.015963935
3/1/2023,23646.55078,23880.63281,23088.62695,23150.92969,24662841200,0.021566062
3/2/2023,23475.4668,23739.13867,23245.02148,23647.01953,20386398516,-0.00723505
3/3/2023,22362.67969,23479.34766,22213.23828,23476.63281,26062404610,-0.047402129
3/4/2023,22353.34961,22405.17773,22198.98047,22362.92383,11166012913,-0.000417216
3/5/2023,22435.51367,22613.68555,22307.14258,22354.14453,13317001733,0.003675694
3/6/2023,22429.75781,22584.29297,22331.31445,22436.81641,17353192895,-0.000256551
3/7/2023,22219.76953,22527.41797,22011.26172,22428.32227,22765452204,-0.00936204
3/8/2023,21718.08008,22268.89648,21708.05078,22216.44141,22536575684,-0.022578517
3/9/2023,20363.02148,21802.7168,20210.30664,21720.08008,30364664171,-0.062393112
3/10/2023,20187.24414,20370.5957,19628.25391,20367.00195,39578257695,-0.008632184
